"4 Weeks CY Value","Manufacturer","Product","Region","Retailer","DDMMMYY","CY % Time On Promo","4 Weeks Store Count","4 Weeks CY Ave Price Quantity","4 Weeks Volume Growth % ","4 Weeks CY Volume","4 Weeks Value Growth % ","4 Weeks CY % Sales On Promo"
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Eastern Cape","Shoprite Hyper","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Eastern Cape","Shoprite Hyper","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Buying Partner","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","17 Aug 25",,,,"-1.0",,"-1.0",
"1936.89","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","26 Jul 26",,"10.0","84.21260869565218",,"8.66",,
"1773.95","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","2 Aug 26",,"10.0","84.47380952380952",,"7.92",,
"1106.93","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","9 Aug 26",,"8.0","85.14846153846155",,"4.9",,
"663.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","16 Aug 26",,"6.0","82.99875",,"3.03",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Foods","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Foods","10 Aug 25",,,,"-1.0",,"-1.0",
"165.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Foods","16 Aug 26",,"1.0","82.995",,"0.75",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","17 Aug 25",,,,"-1.0",,"-1.0",
"414.98","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","26 Jul 26",,"1.0","82.99600000000001",,"1.88",,
"242.62","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","2 Aug 26",,"1.0","80.87333333333333",,"1.13",,
"165.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","16 Aug 26",,"1.0","82.995",,"0.75",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Foods","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Foods","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Foods","17 Aug 25",,,,"-1.0",,"-1.0",
"88.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Foods","26 Jul 26",,"1.0","88.99",,"0.38",,
"267.97","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Foods","9 Aug 26",,"2.0","89.32333333333334",,"1.13",,
"88.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Foods","16 Aug 26",,"1.0","88.99",,"0.38",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Grocer","3 Aug 25",,,,"-1.0",,"-1.0",
