Promotion Indicator,Brand,Manufacturer,Product,ProductsID,Region,Retailer,DDMMMYY,CY % Time On Promo,4 Weeks CY Ave Price Quantity,4 Weeks CY Sales On Promo,4 Weeks CY Ave RSP On Promo,4 Weeks CY % Sales On Promo
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 200ml,225935,Western Cape,SuperSpar,9 Aug 26,,17.54,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 200ml,225935,Western Cape,SuperSpar,16 Aug 26,,17.99,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Checkers,2 Aug 26,,64.9875,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Checkers,9 Aug 26,,64.987,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Checkers,16 Aug 26,,64.98823529411764,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Checkers Hyper,2 Aug 26,,64.9875,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Checkers Hyper,9 Aug 26,,64.99,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Checkers Hyper,16 Aug 26,,64.99,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Clicks,2 Aug 26,,68.99,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Clicks,9 Aug 26,0.5813953488372093,50.40255813953488,5052.2,52.62708333333333,2.3310924602387293
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Clicks,16 Aug 26,0.5853658536585366,51.45240740740741,5612.57,49.6687610619469,2.0200508920505467
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Clicks Pharmacy,2 Aug 26,,68.99,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Clicks Pharmacy,9 Aug 26,1.0,,217.48,54.37,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Clicks Pharmacy,16 Aug 26,0.6666666666666666,49.495,593.95,49.49583333333334,6.000101020305082
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Dis-Chem,2 Aug 26,1.0,,1837.92,41.77090909090909,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Dis-Chem,9 Aug 26,1.0,,1071.01,44.625416666666666,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Dis-Chem,16 Aug 26,0.4285714285714285,55.705714285714286,191.71,31.951666666666668,0.4916397394470944
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,Makro Main,9 Aug 26,,59.95,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,OK Minimark,2 Aug 26,,65.99,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,PnP Corporate,2 Aug 26,,67.99,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,PnP Corporate,9 Aug 26,,67.99,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,PnP Corporate,16 Aug 26,,67.99,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,PnP Family,2 Aug 26,,67.99,,,
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,PnP Family,9 Aug 26,0.1666666666666666,67.99,64.59,64.59,0.1187490807471687
0,Comfort,Unilever,Comfort Fabric Conditioner Calming Lavender 800ml,157471,Eastern Cape,PnP Family,16 Aug 26,,67.99,,,
