date,manufacturer,product,sales_value,sales_volume,current_price,category,subcategory,_source_row
2024-07-01,Barilla Group,Barilla Eggless Lasgane 5kg,125332.5,6960.0,18.007543103448278,Pasta,Lasagna,1
2024-07-01,La Pasta Delizia,Serena Lasagne 250g,497696.68,3475.5,143.20146166019276,Pasta,Lasagna,2
2024-07-01,La Pasta Delizia,Serena Lasagne Sheets 500g,468772.65,3353.0,139.80693408887564,Pasta,Lasagna,3
2024-07-01,La Pasta Delizia,Serena Lasagne Spinach 250g,173149.66,1163.75,148.78595918367347,Pasta,Lasagna,4
2024-07-01,Misko,Misko Lasagne 500g,223.84,4.0,55.96,Pasta,Lasagna,5
2024-07-01,Pasta Regalo,Pasta Regalo Egg Lasagne 500g,540.08,9.5,56.85052631578948,Pasta,Lasagna,6
2024-07-01,Pasta Regalo,Pasta Regalo Organic Spinach Lasagne 500g,1736.72,19.0,91.40631578947368,Pasta,Lasagna,7
2024-07-01,Private Label,Forage & Feast Lasagna Egg 500g,63979.82,513.5,124.59555988315482,Pasta,Lasagna,8
2024-07-01,Private Label,Forage & Feast Lasagne Spinach 250g,83722.63,650.0,128.80404615384617,Pasta,Lasagna,9
2024-07-01,Private Label,Monteverde Pasta Lasagne 250g,297338.24,2495.75,119.1378303115296,Pasta,Lasagna,10
2024-07-01,Barilla Group,Barilla Capellini no 1 500g,87167.4,809.0,107.74709517923361,Pasta,Macaroni,11
2024-07-01,Barilla Group,Barilla Conchiglie Rigate 500g,12939.87,106.0,122.07424528301888,Pasta,Macaroni,12
2024-07-01,Barilla Group,Barilla Farfalle 500g,73354.28,676.5,108.43204730229121,Pasta,Macaroni,13
2024-07-01,Barilla Group,Barilla Fettuccine 500g,53972.82,265.0,203.67101886792452,Pasta,Macaroni,14
2024-07-01,Barilla Group,Barilla Fusilli 500g,252.93,2.5,101.172,Pasta,Macaroni,15
2024-07-01,Barilla Group,Barilla Fusilli Wholewheat Pasta 500g,37781.01,643.5,58.711748251748254,Pasta,Macaroni,16
2024-07-01,Barilla Group,Barilla Maccheroni 500g,17561.03,158.5,110.79514195583596,Pasta,Macaroni,17
2024-07-01,Barilla Group,Barilla Pasta Fusilli 500g,85439.94,795.0,107.47162264150944,Pasta,Macaroni,18
2024-07-01,Barilla Group,Barilla Penne Rigate 500g,148778.7,1372.5,108.39978142076504,Pasta,Macaroni,19
2024-07-01,Barilla Group,Barilla Risoni 500g,22754.33,167.5,135.84674626865672,Pasta,Macaroni,20
