date,manufacturer,product,retailer,region,sales_value,sales_volume,store_count,current_price,percent_time_on_promo,percent_sales_on_promo,4_weeks_volume_growth_percent,4_weeks_value_growth_percent,_source_row
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Free State,1936.89,8.66,10.0,84.21260869565218,,,,,8
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Free State,1773.95,7.92,10.0,84.47380952380952,,,,,9
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Free State,1106.93,4.9,8.0,85.14846153846155,,,,,10
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Free State,663.99,3.03,6.0,82.99875,,,,,11
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Foods,Free State,165.99,0.75,1.0,82.995,,,,,14
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Free State,414.98,1.88,1.0,82.99600000000001,,,,,19
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Free State,242.62,1.13,1.0,80.87333333333333,,,,,20
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Hyper,Free State,165.99,0.75,1.0,82.995,,,,,21
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,OK Foods,Free State,88.99,0.38,1.0,88.99,,,,,25
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,OK Foods,Free State,267.97,1.13,2.0,89.32333333333334,,,,,26
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,OK Foods,Free State,88.99,0.38,1.0,88.99,,,,,27
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,OK Minimark,Free State,84.99,0.38,1.0,84.99,,,,,32
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,OK Minimark,Free State,84.99,0.38,1.0,84.99,,,,,33
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,OK Minimark,Free State,169.98,0.75,1.0,84.99,,,,,34
2026-07-26,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Gauteng,14398.21,60.29,88.0,89.9888125,,,,,39
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Gauteng,20225.88,84.65,97.0,89.89280000000001,1.0309,0.4004,,,40
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Gauteng,13408.37,56.13,81.0,89.98906040268457,,,,,41
2026-08-16,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers,Gauteng,9988.76,41.9,69.0,89.98882882882883,,,,,42
2026-08-02,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Foods,Gauteng,179.98,0.75,1.0,89.99,,,,,43
2026-08-09,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Checkers Foods,Gauteng,179.98,0.75,1.0,89.99,,,,,44
