date,manufacturer,brand,product,sku,retailer,region,sales_value,sales_volume,store_count,current_price,normal_price,percent_time_on_promo,percent_sales_on_promo,promotion_flag,_source_row
2025-01-01,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,Pick n Pay,,81500.0,5080.0,180.0,16.04,17.96,15.0,25.0,False,1
2025-01-01,,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,Pick n Pay,Gauteng,93500.0,5480.0,180.0,17.06,19.11,20.0,30.0,True,2
2025-01-01,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,Pick n Pay,Gauteng,0.0,5880.0,180.0,17.94,20.09,25.0,35.0,True,3
2025-01-01,Barilla Group,Barilla,Barilla Penne 500g,6001110004,Pick n Pay,Gauteng,117500.0,6280.0,180.0,18.71,20.96,30.0,40.0,True,4
2025-01-01,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,Shoprite,Western Cape,85500.0,5080.0,220.0,16.83,18.85,15.0,25.0,False,5
2025-01-01,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,Shoprite,Western Cape,97500.0,5480.0,220.0,999.99,19.92,20.0,30.0,True,6
2025-01-01,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,Shoprite,Western Cape,109500.0,5880.0,220.0,18.62,20.85,25.0,35.0,True,7
2025-01-01,Barilla Group,Barilla,Barilla Penne 500g,6001110004,Shoprite,Western Cape,121500.0,6280.0,220.0,19.35,21.67,30.0,40.0,True,8
2025-01-01,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,Spar,KwaZulu-Natal,89500.0,5080.0,260.0,17.62,19.73,15.0,25.0,False,9
2025-01-01,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,Spar,KwaZulu-Natal,101500.0,5480.0,260.0,18.52,20.74,20.0,30.0,True,10
2025-01-01,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,Spar,KwaZulu-Natal,113500.0,5880.0,260.0,19.3,21.62,25.0,35.0,True,11
2025-01-01,Barilla Group,Barilla,Barilla Penne 500g,6001110004,Spar,KwaZulu-Natal,125500.0,6280.0,260.0,19.98,22.38,30.0,40.0,True,12
2025-02-01,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,Pick n Pay,Gauteng,83000.0,5160.0,180.0,16.09,18.02,15.0,25.0,False,13
