exclusion_reason,_source_row,sales_value,manufacturer,product,region,retailer,date,percent_time_on_promo,store_count,current_price,4_weeks_volume_growth_percent,sales_volume,4_weeks_value_growth_percent,percent_sales_on_promo
EMPTY_METRICS,1,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Eastern Cape,Shoprite Hyper,2025-07-27,,,,-1.0,,-1.0,
EMPTY_METRICS,2,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Eastern Cape,Shoprite Hyper,2025-08-10,,,,-1.0,,-1.0,
EMPTY_METRICS,3,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,Buying Partner,2025-07-27,,,,-1.0,,-1.0,
EMPTY_METRICS,4,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,Checkers,2025-07-27,,,,-1.0,,-1.0,
EMPTY_METRICS,5,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,Checkers,2025-08-03,,,,-1.0,,-1.0,
EMPTY_METRICS,6,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,Checkers,2025-08-10,,,,-1.0,,-1.0,
EMPTY_METRICS,7,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,Checkers,2025-08-17,,,,-1.0,,-1.0,
EMPTY_METRICS,12,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,Checkers Foods,2025-08-03,,,,-1.0,,-1.0,
EMPTY_METRICS,13,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,Checkers Foods,2025-08-10,,,,-1.0,,-1.0,
EMPTY_METRICS,15,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,Checkers Hyper,2025-07-27,,,,-1.0,,-1.0,
EMPTY_METRICS,16,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,Checkers Hyper,2025-08-03,,,,-1.0,,-1.0,
EMPTY_METRICS,17,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,Checkers Hyper,2025-08-10,,,,-1.0,,-1.0,
EMPTY_METRICS,18,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,Checkers Hyper,2025-08-17,,,,-1.0,,-1.0,
EMPTY_METRICS,22,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,OK Foods,2025-07-27,,,,-1.0,,-1.0,
EMPTY_METRICS,23,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,OK Foods,2025-08-03,,,,-1.0,,-1.0,
EMPTY_METRICS,24,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,OK Foods,2025-08-17,,,,-1.0,,-1.0,
EMPTY_METRICS,28,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,OK Grocer,2025-08-03,,,,-1.0,,-1.0,
EMPTY_METRICS,29,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,OK Grocer,2025-08-17,,,,-1.0,,-1.0,
EMPTY_METRICS,30,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,OK Minimark,2025-08-03,,,,-1.0,,-1.0,
EMPTY_METRICS,31,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Free State,OK Minimark,2025-08-10,,,,-1.0,,-1.0,
EMPTY_METRICS,35,,Acdoco,Dr Beckmann Surface Cleaner Oven Active Gel 375ml,Gauteng,Checkers,2025-07-27,,,,-1.0,,-1.0,
