Month,Retailer,Region,Manufacturer,Brand,Product Name,SKU,Sales Value,Units,Stores,Price,Regular Price,% Time on Promo,% Sales on Promo,On Promo
2025-01-01,Pick n Pay,,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,81500,5080,180,16.04,17.96,0.15,0.25,0
2025-01-01,Pick n Pay,Gauteng,,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,93500,5480,180,17.06,19.11,0.2,0.30000000000000004,1
2025-01-01,Pick n Pay,Gauteng,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,0,5880,180,17.94,20.09,0.25,0.35,1
2025-01-01,Pick n Pay,Gauteng,Barilla Group,Barilla,Barilla Penne 500g,6001110004,117500,6280,180,18.71,20.96,0.30000000000000004,0.4,1
2025-01-01,Shoprite,Western Cape,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,85500,5080,220,16.83,18.85,0.15,0.25,0
2025-01-01,Shoprite,Western Cape,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,97500,5480,220,999.99,19.92,0.2,0.30000000000000004,1
2025-01-01,Shoprite,Western Cape,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,109500,5880,220,18.62,20.85,0.25,0.35,1
2025-01-01,Shoprite,Western Cape,Barilla Group,Barilla,Barilla Penne 500g,6001110004,121500,6280,220,19.35,21.67,0.30000000000000004,0.4,1
2025-01-01,Spar,KwaZulu-Natal,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,89500,5080,260,17.62,19.73,0.15,0.25,0
2025-01-01,Spar,KwaZulu-Natal,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,101500,5480,260,18.52,20.74,0.2,0.30000000000000004,1
2025-01-01,Spar,KwaZulu-Natal,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,113500,5880,260,19.3,21.62,0.25,0.35,1
2025-01-01,Spar,KwaZulu-Natal,Barilla Group,Barilla,Barilla Penne 500g,6001110004,125500,6280,260,19.98,22.38,0.30000000000000004,0.4,1
2025-02-01,Pick n Pay,Gauteng,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,83000,5160,180,16.09,18.02,0.15,0.25,0
2025-02-01,Pick n Pay,Gauteng,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,95000,5560,180,17.09,19.14,0.2,0.30000000000000004,1
2025-02-01,Pick n Pay,Gauteng,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,107000,5960,180,17.95,20.1,0.25,0.35,1
2025-02-01,Pick n Pay,Gauteng,Barilla Group,Barilla,Barilla Penne 500g,6001110004,119000,6360,180,18.71,20.96,0.30000000000000004,0.4,1
2025-02-01,Shoprite,Western Cape,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,87000,5160,220,16.86,18.88,0.15,0.25,0
2025-02-01,Shoprite,Western Cape,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,99000,5560,220,17.81,19.95,0.2,0.30000000000000004,1
2025-02-01,Shoprite,Western Cape,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,111000,5960,220,18.62,20.85,0.25,0.35,1
2025-02-01,Shoprite,Western Cape,Barilla Group,Barilla,Barilla Penne 500g,6001110004,123000,6360,220,19.34,21.66,0.30000000000000004,0.4,1
2025-02-01,Spar,KwaZulu-Natal,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,"R 12,500.00",5160,260,17.64,19.76,0.15,0.25,0
Feb 25,Spar,KwaZulu-Natal,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,103000,5560,260,18.53,20.75,0.2,0.30000000000000004,1
2025-02-01,Spar,KwaZulu-Natal,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,115000,5960,260,19.3,21.62,0.25,0.9,1
2025-02-01,Spar,KwaZulu-Natal,Barilla Group,Barilla,Barilla Penne 500g,6001110004,127000,6360,260,19.97,22.37,0.30000000000000004,0.4,1
2025-03-01,Pick n Pay,Gauteng,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,84500,5240,180,16.13,18.07,0.15,0.25,0
2025-03-01,Pick n Pay,Gauteng,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,96500,5640,180,17.11,19.16,0.2,0.30000000000000004,1
2025-03-01,Pick n Pay,Gauteng,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,108500,6040,180,17.96,20.12,0.25,0.35,1
2025-03-01,Pick n Pay,Gauteng,Barilla Group,Barilla,Barilla Penne 500g,6001110004,120500,6440,180,18.71,20.96,0.30000000000000004,0.4,1
2025-03-01,Shoprite,Western Cape,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,88500,5240,220,16.89,18.92,0.15,0.25,0
2025-03-01,Shoprite,Western Cape,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,100500,5640,220,17.82,19.96,0.2,0.30000000000000004,1
2025-03-01,Shoprite,Western Cape,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,112500,6040,220,18.63,20.87,0.25,0.35,1
2025-03-01,Shoprite,Western Cape,Barilla Group,Barilla,Barilla Penne 500g,6001110004,124500,6440,220,19.33,21.65,0.30000000000000004,0.4,1
2025-03-01,Spar,KwaZulu-Natal,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,92500,5240,260,17.65,19.77,0.15,0.25,0
2025-03-01,Spar,KwaZulu-Natal,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,104500,5640,260,18.53,20.75,0.2,0.30000000000000004,1
2025-03-01,Spar,KwaZulu-Natal,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,116500,6040,260,19.29,21.6,0.25,0.35,1
2025-03-01,Spar,KwaZulu-Natal,Barilla Group,Barilla,Barilla Penne 500g,6001110004,128500,6440,260,19.95,22.34,0.30000000000000004,0.4,1
2025-04-01,Pick n Pay,Gauteng,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,86000,5320,180,16.17,18.11,0.15,0.25,0
2025-04-01,Pick n Pay,Gauteng,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,98000,5720,180,17.13,19.19,0.2,0.30000000000000004,1
2025-04-01,Pick n Pay,Gauteng,Indofood,Indomie,Indomie Mi Goreng 80g,6001110003,110000,6120,180,17.97,20.13,0.25,0.35,1
2025-04-01,Pick n Pay,Gauteng,Barilla Group,Barilla,Barilla Penne 500g,6001110004,122000,6520,180,18.71,20.96,0.30000000000000004,0.4,1
2025-04-01,Shoprite,Western Cape,Tiger Brands,Fatti's & Moni's,Fatti's & Moni's Spaghetti 500g,6001110001,90000,5320,220,16.92,18.95,0.15,0.25,0
2025-04-01,Shoprite,Western Cape,Nestle,Maggi,Maggi 2-Minute Noodles Chicken 73g,6001110002,102000,5720,220,17.83,19.97,0.2,0.30000000000000004,1
